type,level,accuracy,precision,recall,f1
original,0,0.9902,0.9901952115647182,0.9900878393217744,0.9901311216253067
translation,2,0.8265,0.8426986784628616,0.8296750760431996,0.828980759010269
translation,5,0.0532,0.03713480282031385,0.057438217878738373,0.03475588949162322
translation,8,0.0228,0.04766764036077404,0.022558726534161692,0.015864257992610355
translation,10,0.0884,0.03199950971513958,0.08738237327578888,0.045029154436099186
rotation,2,0.9902,0.9901952115647182,0.9900878393217744,0.9901311216253067
rotation,5,0.9864,0.9864717396067594,0.9862428054135094,0.9863308457588227
rotation,10,0.9797,0.9798822982109705,0.9795084254564987,0.9796040015412995
rotation,15,0.9704,0.9706105523878241,0.9701412812671071,0.970197655758423
rotation,20,0.9512,0.9520359867988744,0.9509609615920024,0.9509448579072064
rotation,25,0.912,0.9137008820104106,0.9118340688557784,0.9114657349928962
flip,1,0.4154,0.40427490209134,0.4074613674439587,0.37444998108769234
